place_id,name,addr,state,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJn0Z4D1md9YgRic6uCJnWlus,"Boarding Pass Coffee - Roastery (Milton, GA)","13695 GA-9 Suite 102, Alpharetta, GA 30004",Georgia,34.1147474,-84.2687427,https://maps.google.com/?cid=16975991798183677577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,4.9,114,coffee roaster;coffee roastery;specialty coffee roaster,Georgia
ChIJfYRU1_L3QIgRoRcitkn4Pc4,Coffee Caravan,"706 Deerfield Rd, Lebanon, OH 45036",Ohio,39.4229828,-84.2060892,https://maps.google.com/?cid=14861307340864493473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.9,114,coffee roaster,OH_Cincinnati
ChIJ0QToR6X7AogRkBp84nvbVt4,CoffeeIcon Factory Store,"1545 Cornell Rd Unit 15, Green Bay, WI 54313",Wisconsin,44.582696299999995,-88.0701292,https://maps.google.com/?cid=16021234049544362640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,114,coffee roaster;coffee roastery;coffee roasting company,Wisconsin
ChIJxYXMX4ubskwRRXI3BQdbKy4,Coveside Coffee,"28 Vannah Ave, Portland, ME 04103",Maine,43.6719035,-70.2832904,https://maps.google.com/?cid=3326852835453661765&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,114,coffee roaster;coffee roastery,ME_Portland
ChIJg8VsTF4FyIkRwTtIF09ax3U,Dear Globe Coffee,"422 W Mulberry St, Baltimore, MD 21201",Maryland,39.294060099999996,-76.6221564,https://maps.google.com/?cid=8486851318542515137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.8,114,specialty coffee roaster;coffee roastery;coffee roasting company,Delaware
ChIJrb9jFXLjEogRI8OErRi4Q3M,Indie Coffee Roasters,"1501 Mitch Daniels Blvd, West Lafayette, IN 47906",Indiana,40.423792999999996,-86.9308034,https://maps.google.com/?cid=8305684553931211555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,114,coffee roaster;coffee roastery;specialty coffee roaster;coffee roasting company,Indiana
ChIJ2RmWBBDRsokR1H5uEvWdrZc,Mission House Coffee,"105 Cornerstone St #106, Lynchburg, VA 24502",Virginia,37.3396575,-79.2256579,https://maps.google.com/?cid=10929565546599841492&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,114,coffee roaster,Virginia
ChIJ7xDmfT8WAYgRmeBwL5uOD1g,Mt Morris Mill Coffee Shop,"N 3694, N3694 WI-152, Wautoma, WI 54982",Wisconsin,44.1121377,-89.1923547,https://maps.google.com/?cid=6345447197155319961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.7,114,coffee roaster,Wisconsin
ChIJ-eUN4HJVE4gRyB0ZM1Cj1eI,Our Place Coffee,"65 S 1st St, Zionsville, IN 46077",Indiana,39.9509362,-86.26220529999999,https://maps.google.com/?cid=16345149987461078472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,114,coffee roaster,Indiana
ChIJZxGzlSVzaYgR2kPwpdfdSCU,Red Hot Roasters,"1399 Lexington Rd, Louisville, KY 40206",Kentucky,38.250836899999996,-85.7206582,https://maps.google.com/?cid=2686641095998194650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,coffee_stand,coffee_roastery,bakery,food_store,wholesaler,store,point_of_interest,food,establishment",OPERATIONAL,4.6,114,coffee roaster,Kentucky
ChIJO6iX-pauAYgRrKDdfp83wPU,Ruby Coffee Headquarters Cafe,"9489 1st St, Nelsonville, WI 54458",Wisconsin,44.494346199999995,-89.3100549,https://maps.google.com/?cid=17708214892988571820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,breakfast_restaurant,bakery,restaurant,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.9,114,coffee roaster;coffee roastery;specialty coffee roaster;coffee roasting company,Wisconsin
ChIJcf4Cvs0P3IAR1sxv7LXHHgQ,Seven Seas Roasting Co. Solana Beach,"312 S Cedros Ave, Solana Beach, CA 92075",California,32.989283799999995,-117.2697472,https://maps.google.com/?cid=296894209622789334&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,ice_cream_shop,dessert_shop,confectionery,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,114,coffee roasting company,CA_SanDiego
ChIJbX2OvTAPyIkRb6CTIxLzdaY,Aveley Farms Coffee Roasters - The Roastery,"9490 Deereco Rd, Timonium, MD 21093",Maryland,39.45128890000001,-76.6373193,https://maps.google.com/?cid=11994760441803022447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,113,coffee roaster;coffee roastery;specialty coffee roaster;coffee roasting company,Delaware
ChIJFcAdeOaXy4kRZyjSZRzsPSg,Boro Coffee Co.,"411 S Juniata St, Hollidaysburg, PA 16648",Pennsylvania,40.426929699999995,-78.3911478,https://maps.google.com/?cid=2899733341807978599&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,113,coffee roaster,Pennsylvania
ChIJWy8-QoM7TG8RttGA2Fc3yok,CHNO Coffee Co,"4612 Gilead St A, Charlotte, NC 28217",North Carolina,35.184394,-80.8821751,https://maps.google.com/?cid=9928809178925683126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_stand,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.9,113,coffee roaster;coffee roasting company,NC_Charlotte
ChIJLwXaAlVxK4cRfrSO1C5yZuA,Cartel Roasting Co.,"21001 N Tatum Blvd Ste D8, Phoenix, AZ 85050",Arizona,33.6759686,-111.9718419,https://maps.google.com/?cid=16169737057580528766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,pastry_shop,bakery,dessert_shop,confectionery,food_store,store,wholesaler,point_of_interest,food,establishment",OPERATIONAL,3.8,113,coffee roastery;coffee roasting company,Arizona
ChIJ3yv-Qb3xNIgRROcIvKOeLmM,De Fer Coffee & Tea,"725 Penn Ave, Pittsburgh, PA 15222",Pennsylvania,40.443534,-79.999763,https://maps.google.com/?cid=7146824084755113796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.6,113,coffee roastery,PA_Pittsburgh
ChIJD-Ee0gyhwYkRxcUSwCWQZdE,Jersey Charm Coffee,"415 US-9 unit 6, Lanoka Harbor, NJ 08734",New Jersey,39.8534084,-74.180644,https://maps.google.com/?cid=15088624618385360325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,5,113,coffee roasting company,New Jersey
ChIJk75u-He8YIcRk1kQKsT-hs0,La Barista Espresso,"2945 E 2nd St, Casper, WY 82609",Wyoming,42.8485603,-106.2877807,https://maps.google.com/?cid=14809804543127214483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,113,coffee roaster;coffee roastery,Wyoming
ChIJEYjOWABx44kRAA852VnJLOY,Little Wolf Coffee,"51 Sleeper St, Boston, MA 02210",Massachusetts,42.352532,-71.0484675,https://maps.google.com/?cid=16585852915432361728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,113,coffee roaster;coffee roastery;specialty coffee roaster,Massachusetts
ChIJFUEob_6nlVQRvQqb4NNgG-Q,Saint Simon Coffee Co. - Brazee,"2526 NE 15th Ave #102, Portland, OR 97212",Oregon,45.5409449,-122.650247,https://maps.google.com/?cid=16436837728141380285&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.5,113,coffee roasting company,OR_Portland
ChIJSeP-EoBZVFMRwiTMMUxY1N0,The Nice Spot Mercantile and Coffee Bar,"395 Lindsay Blvd, Idaho Falls, ID 83402",Idaho,43.4947155,-112.0464427,https://maps.google.com/?cid=15984498061720954050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,gift_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,113,coffee roaster,Idaho
ChIJ08c0_1Z9MIYRXuZDeJ7mbYM,7 Brew Coffee,"200 Keyser Ave, Natchitoches, LA 71457",Louisiana,31.754379300000004,-93.08354659999999,https://maps.google.com/?cid=9470479159726958174&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,112,coffee roaster,Louisiana
ChIJLQSGQFqT7ocRPjKf8s7x_64,Best Day Coffee,"404 8th St SW Ste C, Altoona, IA 50009",Iowa,41.643482299999995,-93.4683409,https://maps.google.com/?cid=12610063352796754494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,112,coffee roastery,Iowa
ChIJRakMDtBEQogRAUcpld9QOVo,Brevede Coffee Chevy Chase,"859 E High St, Lexington, KY 40502",Kentucky,38.0289291,-84.4898316,https://maps.google.com/?cid=6501316458296461057&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,dessert_shop,confectionery,event_venue,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.5,112,coffee roaster,Kentucky
ChIJK44aKtmRZEUR65zZxRZ361E,Chugach Mountain Roasters,"4707 Spenard Rd, Anchorage, AK 99517",Alaska,61.1775209,-149.9401604,https://maps.google.com/?cid=5902942676291525867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_roastery,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.9,112,coffee roaster;coffee roastery;specialty coffee roaster;coffee roasting company,Alaska
