place_id,name,addr,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJKzqfUtkpC18Rzqjq-h-dPMQ,自家焙煎珈琲 やかん by みちみち種や,〒001-0023 北海道札幌市北区北２３条西６丁目２−５３ ル・ノール北24条通 1階,43.0897807,141.3410164,https://maps.google.com/?cid=14140349690715744462&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,14,自家焙煎コーヒー;珈琲焙煎,北海道
ChIJ3UmNBitQGmAR2r_wOHhCH74,自家焙煎珈琲豆かりおもん,〒426-0087 静岡県藤枝市音羽町３丁目１７−３,34.8738086,138.23639939999998,https://maps.google.com/?cid=13699741675603148762&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,14,自家焙煎コーヒー;珈琲焙煎,静岡県
ChIJW4ccsdWLGGAReS0NYPKcT74,街の珈琲屋さん自家焙煎珈琲豆beans,〒142-0043 東京都品川区二葉１丁目１９−１ アンシャンテ大井 １０１号,35.6071172,139.7298161,https://maps.google.com/?cid=13713351955173944697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,4.5,14,自家焙煎コーヒー;珈琲焙煎,埼玉県
ChIJi1HDcANPB2ARNy4gacGqgY0,赤倉焙煎室,〒642-0032 和歌山県海南市名高４２８−１３,34.1514139,135.2148962,https://maps.google.com/?cid=10196618779012640311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,5,14,自家焙煎コーヒー;珈琲焙煎,和歌山県
ChIJv0NH_QCMGGAR72vn9cYoQdY,（有）斎藤コーヒー店,〒101-0047 東京都千代田区内神田３丁目３−１３ 新井ビル,35.6896917,139.7697406,https://maps.google.com/?cid=15438665832596990959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,wholesaler,"wholesaler,point_of_interest,food,establishment",OPERATIONAL,4.4,14,自家焙煎コーヒー;珈琲焙煎,東京都
ChIJXwOvOFvuGGARLCf8MFeBJSE,（株）吉祥寺珈琲,〒177-0054 東京都練馬区立野町１０−３７,35.7140406,139.5828431,https://maps.google.com/?cid=2388457388873885484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,14,コーヒーロースター;自家焙煎コーヒー;珈琲焙煎,東京都_吉祥寺
ChIJL8DCNgMLImARQINQsTdWkwU,BEAN TREK Coffee Roasters,〒305-0816 茨城県つくば市学園の森３丁目21−１ 筑波ハム 「つくば陣屋」内,36.092659399999995,140.09151190000003,https://maps.google.com/?cid=401759588964139840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"coffee_roastery,coffee_stand,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,13,コーヒーロースター;自家焙煎コーヒー;coffee roaster;珈琲焙煎,茨城県
ChIJvVgbYRCVUzURuBwD2mQzgME,COFFEE ROSTER K-ship,〒761-0701 香川県木田郡三木町池戸２９０３−１,34.2741689,134.1223723,https://maps.google.com/?cid=13943200954586438840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,3.9,13,コーヒーロースター;自家焙煎コーヒー;coffee roaster;珈琲焙煎,岡山県
ChIJq-Ceg4ABm18Ru2USbPACYvM,Coffee＆Roasters Dolcetto(ドルチェット),〒036-8174 青森県弘前市富野町６−４,40.5895301,140.47412939999998,https://maps.google.com/?cid=17537583130562684347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,13,coffee roaster,青森県
ChIJp9BRsUPbTzUROmCa9FS4tII,FUJIYAMA COFFEE naturel Roaster,〒791-0321 愛媛県東温市河之内３４３４,33.769332299999995,132.9677355,https://maps.google.com/?cid=9418355395759071290&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_stand,"coffee_stand,point_of_interest,establishment",OPERATIONAL,4.5,13,コーヒーロースター;coffee roaster,愛媛県
ChIJZ_5gUM-VajUR6N6yFpXrSnU,HTC with ラクロス店,〒857-0053 長崎県佐世保市常盤町５−３ ラクロスビル 1階,33.1739945,129.71945159999999,https://maps.google.com/?cid=8451826676277632744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.2,13,coffee roaster,長崎県
ChIJkxb-kWlJGmAR2Z33l8n79DE,Jimny megane coffee ジムニーメガネコーヒー,〒421-0122 静岡県静岡市駿河区用宗５丁目１−３,34.9220057,138.3604236,https://maps.google.com/?cid=3599778845432454617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,food,point_of_interest,establishment",OPERATIONAL,4.9,13,コーヒーロースター,静岡県
ChIJKXICGwA_PjURuLoa9AB6WIc,KENT COFFEE MAKERS,〒896-0006 鹿児島県いちき串木野市東塩田町２２６−１,31.7248414,130.2726844,https://maps.google.com/?cid=9752679137584790200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,13,コーヒーロースター;coffee roaster,鹿児島県
ChIJ60jn7xEvAWAR4NoEcOwbETA,KOTOBUKI COFFEE,〒639-0225 奈良県香芝市瓦口７４−３,34.5355993,135.715748,https://maps.google.com/?cid=3463580290730220256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.6,13,コーヒーロースター;自家焙煎コーヒー;coffee roaster,和歌山県
ChIJed6I7aNbBGARQyPuJMKwQgo,LIAISON Coffee Roasters,〒516-0062 三重県伊勢市浦口１丁目５−１０,34.4944877,136.69065799999998,https://maps.google.com/?cid=739347636731913027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,coffee_stand,cafe,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.8,13,コーヒーロースター;coffee roaster,三重県
ChIJLT4FQH_BQzURK2jXi-yXa3E,Newfeel.d COFFEE,〒802-0832 福岡県北九州市小倉南区下石田１丁目５−１ 2F,33.837588,130.8887485,https://maps.google.com/?cid=8172792991008122923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,5,13,コーヒーロースター,山口県
ChIJ7Z5kEgBNAmAR29efraOymkk,RELIEVE COFFEE ROASTERYLab.,〒501-1234 岐阜県本巣市木知原１０２５−３３,35.525958599999996,136.66009499999998,https://maps.google.com/?cid=5303747927244527579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,13,コーヒーロースター,岐阜県
ChIJ5yRUWwkjTjURMn-QVHMH9V4,RIVER COFFEE HOUSE INO,〒781-2110 高知県吾川郡いの町３６３５−１,33.54892710000001,133.42322819999998,https://maps.google.com/?cid=6842383400780726066&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_stand,"coffee_stand,point_of_interest,establishment",OPERATIONAL,4.5,13,コーヒーロースター;自家焙煎コーヒー;coffee roaster;珈琲焙煎,高知県
ChIJ9e_SLxWzAGARzixVeV0sjnk,SUISEI COFFEE,〒640-8045 和歌山県和歌山市卜半町３３,34.2326277,135.1712576,https://maps.google.com/?cid=8758987105261399246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.5,13,コーヒーロースター;珈琲焙煎,和歌山県
ChIJI8G1VSDvGGARORL2miGItuk,TCL ROASTING FACTORY,〒177-0045 東京都練馬区石神井台７丁目２４,35.7328974,139.57961040000004,https://maps.google.com/?cid=16840797534513664569&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,wholesaler,"food_store,store,wholesaler,point_of_interest,food,establishment",OPERATIONAL,4.8,13,コーヒーロースター;自家焙煎コーヒー;珈琲焙煎,東京都_吉祥寺
ChIJO-53kiaNAGARrKZkfocw2R8,TODOKEL COFFEE ROASTERY (トドケル コーヒー ロースタリー),〒657-0833 兵庫県神戸市灘区大内通１丁目６−５ 1F,34.7128754,135.2281371,https://maps.google.com/?cid=2294918843621222060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"meal_takeaway,restaurant,point_of_interest,food_store,store,food,establishment",OPERATIONAL,4.9,13,コーヒーロースター,兵庫県
ChIJze8Dx7C_-F8RIvjCme42F5w,The Grand coffee Stand Echizenrailway Fukui Sta,〒910-0006 福井県福井市中央１丁目１−３ えちぜん鉄道福井駅,36.0620385,136.2239358,https://maps.google.com/?cid=11247518992790911010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.2,13,コーヒーロースター;自家焙煎コーヒー;coffee roaster;珈琲焙煎,福井県
ChIJ59jQqT_nAGARoK2YoRK9wYc,Yamawaki Coffee Roaster,〒542-0081 大阪府大阪市中央区南船場２丁目８−９,34.6776195,135.5044816,https://maps.google.com/?cid=9782307753343626656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,13,coffee roaster,大阪府_難波
ChIJF4PCu2YZTjURnsnBH6fYqQY,cookiestand mikke,〒780-0901 高知県高知市上町３丁目６−６,33.5567129,133.5228341,https://maps.google.com/?cid=480153047595600286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,13,コーヒーロースター;coffee roaster,高知県
ChIJ_6PFDACVajURUV-yY8Wk2kI,grit coffee [グリットコーヒー] 佐世保,〒857-0864 長崎県佐世保市戸尾町５−２０ BrangiaPark戸尾 1F,33.1682135,129.7247088,https://maps.google.com/?cid=4817343919114313553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,food_store,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.5,13,コーヒーロースター;coffee roaster,長崎県
ChIJgSFKJYIpC18RoAgJcsm4NMc,しげのもり珈琲,〒063-0824 北海道札幌市西区発寒４条４丁目２−５,43.084494299999996,141.2935009,https://maps.google.com/?cid=14354301087677745312&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,4.8,13,自家焙煎コーヒー;珈琲焙煎,北海道
ChIJO45k5dLzGGARKLrZTyXzK1c,たまじ珈琲 成田東店,〒166-0015 東京都杉並区成田東２丁目３３−１２,35.692056699999995,139.6369005,https://maps.google.com/?cid=6281381446877297192&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,4.7,13,自家焙煎コーヒー;珈琲焙煎,東京都_吉祥寺
