v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
GuA2QyONL8zM,고유,충청북도 제천시 강명길 24-2 4층,37.1179428,128.2036127,25,not_found,,,,,,,0,,0
w69tdYrjDwQn,그라치아,부산광역시 남구 용소로13번길 90 3층,35.1380134,129.1051413,25,not_found,,,,,,,0,,0
oocqvEKzsuNM,그루브 로스팅라운지카페,대전광역시 유성구 은구비로 151 1층 그루브,36.3811269,127.3258455,25,not_found,ChIJj0K8Kl1LZTURZfwjuiMw7ng,그집,대전광역시 유성구 은구비서로23번길 32,https://maps.google.com/?cid=8713955259013397605&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.375058599999996,127.31995669999998,0.0,856.3,0.0
RTrR18XD1dtS,김관권커피전문점,경기도 이천시 애련정로 181 102호,37.2861511,127.4520479,25,not_found,ChIJgzZaCaFXYzUR8gI5yofR9LI,우진커피니케이션,경기도 이천시 서희로48번길 3 1층,https://maps.google.com/?cid=12895162014212096754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.2798977,127.4428966,0.0,1067.2,0.0
FJWAWPboSkfN,네오베네,서울 구로구 천왕동 108,37.479035,126.8417333,25,not_found,,,,,,,0,,0
HMWDnonvMmrK,노슬립커피,서울특별시 영등포구 양평로21다길 14 1층 103호,37.5368976,126.8919375,25,not_found,ChIJy7za28aefDURQhPycFR-BL0,노브랜드 영등포양평점,서울특별시 영등포구 양평로 135,https://maps.google.com/?cid=13620150074212488002&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5381734,126.89265850000001,0.0,155.5,0.15
htJP51zQsGsu,노안로336,전라남도 나주시 노안면 노안로 336 카페 노안로336,35.0747754,126.7312035,25,not_found,ChIJPxuRIRkpcjURwJio5Zn4I-c,노안면사무소,전라남도 나주시 노안면 금동리 221-6,https://maps.google.com/?cid=16655429186812942528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,35.0759144,126.7321979,0.111,155.7,0.261
LUbEKPooHv4l,느호,인천광역시 중구 신포로39번길 23 1층 느호,37.4729272,126.6247378,25,not_found,,,,,,,0,,0
iebuxQBRjiwI,단델리온커피,충청남도 아산시 외암로 1388-1,36.7601039,127.0174086,25,not_found,ChIJObzXMUDcejURjyDdG3KRdNk,카페디엘,아산시 송악면 외암리 469-29번지 A동 1층 아산시 충청남도 KR,https://maps.google.com/?cid=15669308922808574095&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.7428295,127.0178837,0.0,1921.3,-0.4
mbhnYilXVhXo,닷,서울특별시 성동구 상원길 81-1 1층,37.5512812,127.0472763,25,not_found,ChIJMxOVU5ikfDUR-z2ucdZYdIc,플디,서울특별시 성동구 상원길 44 2층,https://maps.google.com/?cid=9760523970472197627&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5478873,127.04849829999999,0.0,392.5,0.05
