place_id,country,name,addr,lat,lng,maps_url,primary_type,types,business_status,rating,user_rating_count,found_via_query,found_via_region
ChIJR3dfIg7ik2sRhiPsuY04CjY,AU,Wolff Coffee Roasters,"140B Gerler Rd, Hendra QLD 4011",-27.418772399999998,153.0726795,https://maps.google.com/?cid=3893987009176019846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,educational_institution,wholesaler,food,point_of_interest,establishment",OPERATIONAL,4.4,250,coffee roaster;coffee roastery;specialty coffee roaster,Brisbane
ChIJwznamDexEmsR2J78B3_xWcg,AU,Cocoa & Coffee,"103 Parramatta Rd, Annandale NSW 2038",-33.8877435,151.1682108,https://maps.google.com/?cid=14436835608409972440&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,point_of_interest,food,establishment",OPERATIONAL,4.8,249,coffee roaster,Sydney_InnerWest
ChIJdcvFcwBbkWsR_MIilZ1bA1g,AU,Mourning Roast,"377 Logan Rd, Greenslopes QLD 4120",-27.4997113,153.045111,https://maps.google.com/?cid=6342013432637866748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,249,coffee roaster;specialty coffee roaster,Brisbane
ChIJZ2hEO_0Vc2sRHnb7gvFlevQ,AU,Mr.Sister Coffee Newcastle,"Lyrique Lane, Shop 9/18 Wolfe St, Newcastle NSW 2300",-32.927183500000005,151.7795358,https://maps.google.com/?cid=17616504980372157982&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,breakfast_restaurant,coffee_shop,food_store,store,restaurant,point_of_interest,food,establishment",OPERATIONAL,4.7,249,coffee roaster;coffee roastery;specialty coffee roaster,Newcastle
ChIJx3Wg8fCkMioRz_g5wq_n2Rc,AU,Rocketfuel Coffee Roasters,"6 Stirling Hwy, Nedlands WA 6009",-31.9776235,115.81308600000001,https://maps.google.com/?cid=1718659474882427087&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.1,247,coffee roaster;specialty coffee roaster,Fremantle
ChIJQQJ4hk1D1moR9pwI2YtXN2E,AU,Core Roasters,"14 Barkly St, Brunswick East VIC 3057",-37.7782319,144.9771245,https://maps.google.com/?cid=7005164003551386870&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,wholesaler,point_of_interest,food,establishment",OPERATIONAL,4.5,244,coffee roaster;coffee roastery;specialty coffee roaster,Melbourne
ChIJ5z0XvdhbkWsRuMCw8p7JGIU,AU,Percolate Specialty Coffee & Waffles,"shop 5/121 Wellington Rd, East Brisbane QLD 4169",-27.483236899999998,153.04082250000002,https://maps.google.com/?cid=9590637090999156920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,coffee_shop,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,244,coffee roaster;specialty coffee roaster,Brisbane
ChIJhwV7FNZNFmsRcjqlk2LWRrY,AU,Redbrick Coffee City,"Shop 1/1 Constitution Ave, Canberra ACT 2601",-35.2831195,149.13113769999998,https://maps.google.com/?cid=13134421082144848498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,point_of_interest,food,establishment",OPERATIONAL,4.4,243,coffee roaster;coffee roastery;specialty coffee roaster,Canberra
ChIJj-vJxhwT1GoROE4gj04F5hw,AU,Funk by Botanical Brew,"152 Shannon Ave, Geelong West VIC 3218",-38.138262999999995,144.3370641,https://maps.google.com/?cid=2082357712672280120&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,cafe,"cafe,bakery,bar,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.8,242,coffee roastery,Geelong
ChIJSa_g1q-7MioRnTftx6Sphuc,AU,March Coffee Studio,"Gordon Stephenson House, Building Lobby/140 William St, Perth WA 6000",-31.9520491,115.85801730000001,https://maps.google.com/?cid=16683208394834524061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.9,242,coffee roastery,Perth
ChIJYzdFgN0PkWsRYHzwf4Snb1M,AU,Old Quarter Coffee Merchants - Southport,"Shop 6/1 Stevens St, Southport QLD 4215",-27.957469999999997,153.40925479999999,https://maps.google.com/?cid=6012208215086890080&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_stand,coffee_shop,cafe,tea_store,meal_takeaway,pastry_shop,bakery,dessert_shop,confectionery,food_store,store,wholesaler,restaurant,point_of_interest,food,establishment",OPERATIONAL,5,242,coffee roaster;coffee roastery,GoldCoast
ChIJw4k2az2lEmsRjEW4QnysEr4,AU,Wolfpack Coffee Roasters Mortlake,"10 Edwin St, Mortlake NSW 2137",-33.8420158,151.10680240000002,https://maps.google.com/?cid=13696199066482394508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_roastery,"coffee_roastery,coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.7,240,coffee roaster;coffee roastery;specialty coffee roaster,Sydney
ChIJ-WCGZlaxEmsR9UPlfyld_Vs,AU,Noble Roasters,"5/22 Danks St, Waterloo NSW 2017",-33.8978797,151.2127928,https://maps.google.com/?cid=6628556659380012021&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,coffee_shop,"coffee_shop,cafe,food_store,store,point_of_interest,food,establishment",OPERATIONAL,4.3,238,coffee roaster;coffee roastery,Sydney
