v_rid,name,addr,lat,lng,dc_score,status,g_place_id,g_name,g_addr,g_maps_url,g_lat,g_lng,name_sim,dist_m,match_score
T229DZ92Osqf,커피내리다,전라북도 완주군 운주면 대둔산로 2248 1층,36.1184931,127.3348652,61,maybe,ChIJV1XgEO9VZTURQD7nkQE_OQI,커피내리다,전북특별자치도 완주군 운주면 대둔산로 2248 KR,https://maps.google.com/?cid=160228537723731520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.0970507,127.30956559999998,1.0,3294.0,0.6
XQwbViXDDyBr,커피스픽스,경기도 파주시 탄현면 새오리로 233-1 2층,37.8034467,126.6885065,61,maybe,ChIJCVCeq5mLfDURKqA3TQ1R7Dg,Coffee Speaks,경기도 파주시 새오리로 233-1,https://maps.google.com/?cid=4101742478199595050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.803522799999996,126.6886197,0.0,13.1,0.25
AdKgu3PQdrbn,트리도 로스터리,서울특별시 성북구 동소문로 129-2 1층,37.5945192,127.018749,61,maybe,ChIJ6QBBkz69fDUR2s8gkvhJp-s,trido roastery,서울특별시 성북구 동소문로 129-2 1층,https://maps.google.com/?cid=16980622251976085466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5944959,127.01874,0.0,2.7,0.25
MdirfYBbhFVk,힐러스 카페&스테이,강원도 양양군 현남면 북죽로 112-2 힐러스,37.9803389,128.7425078,61,maybe,ChIJCfpR-qdV318RxPk_6eaULcY,힐러스(hillers),강원특별자치도 양양군 현남면 북죽로 112-2 힐러스,https://maps.google.com/?cid=14280233712938383812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.980276599999996,128.74228399999998,0.167,20.8,0.417
f2WBne6RCgPS,REDLEAF coffeefactory,서울특별시 용산구 후암로28길 27 코오롱빌라 1층,37.5497309,126.9788127,60,maybe,ChIJ9VYZ-1yifDURd1fB_YPFHJo,레드리프 커피팩토리,서울특별시 용산구 후암로28길 27,https://maps.google.com/?cid=11104967951877494647&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5497919,126.9788937,0.0,9.8,0.25
7SA8XtToN7i4,그린코나,서울특별시 송파구 위례광장로 170 힐스테이트송파위례,37.4797578,127.1428383,60,maybe,ChIJ6-8Q4GavfDURBj9QuC55Ojw,그린코나,서울특별시 장지동 883번지 A동 1층 112호 힐스테이트송파위례 송파구 서울특별시 KR,https://maps.google.com/?cid=4339914432492617478&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.4847045,127.1326154,1.0,1056.5,1.0
4hebek8ZQ3ix,더블탭커피로스터즈,경기도 평택시 평남로 705 1층,36.9944344,127.1125364,60,maybe,ChIJ75J_wJY7ezURZupclBpLxs0,Doubletap Coffee Roasters,경기도 평택시 평남로 705 더블탭커피로스터즈 1층,https://maps.google.com/?cid=14827621400694286950&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,36.9944249,127.1124967,0.0,3.7,0.25
xLry8utL1c6M,로스터리 락온 DMC,서울특별시 마포구 월드컵북로 375 1층 109호,37.5773352,126.8908565,60,maybe,ChIJERqD0w-ZfDUR1gbvxCBjMJc,Dope Coffee DMC,서울특별시 마포구 월드컵북로 361,https://maps.google.com/?cid=10894316491003332310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.5772556,126.89085829999999,0.25,8.9,0.5
KPEhCQQ6H5xD,로핸커피,경기도 의왕시 경수대로 262 서해그랑블 상가 2층 228호,37.3500932,126.9739069,60,maybe,ChIJ7eGZQ1hdezURojBflip0I0U,달리는커피 의왕서해그랑블점,경기도 의왕시 경수대로 262 서해그랑블상가 1층 133호,https://maps.google.com/?cid=4981953339062169762&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.3503536,126.97342549999999,0.0,51.5,0.25
zfztoMcgCVwR,모어댄커피,경기도 수원시 영통구 도청로18번길 26 1층 제108호,37.2872589,127.0567853,60,maybe,ChIJr89LVDlHezURhX7tOAmH-ag,모어댄구디스,경기도 화성시 동탄순환대로3길 27-31,https://maps.google.com/?cid=12175911541252390533&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,37.1658629,127.09565049999999,0.85,13930.3,0.45
